Series Name,Series Code,Year,Country,Value
Bank capital to total assets (%),GFDD.SI.03,2015,United States,11.711053
Bank credit to bank deposits (%),GFDD.SI.04,2015,United States,62.77115
Bank non-performing loans to gross loans (%),GFDD.SI.02,2015,United States,1.4734265
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2015,United States,14.13736
Bank Z-score,GFDD.SI.01,2015,United States,34.13966
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2015,United States,19.72245
Provisions to nonperforming loans (%),GFDD.SI.07,2015,United States,..
"Bank branches per 100,000 adults",GFDD.AI.02,2015,United States,157.80527
"Bank return on assets (%, after tax)",GFDD.EI.05,2015,United States,1.077313
"Bank return on equity (%, after tax)",GFDD.EI.06,2015,United States,9.556301
"Bank return on assets (%, before tax)",GFDD.EI.09,2015,United States,1.561052
"Bank return on equity (%, before tax)",GFDD.EI.10,2015,United States,13.84731
Bank capital to total assets (%),GFDD.SI.03,2015,United Kingdom,6.8382293
Bank credit to bank deposits (%),GFDD.SI.04,2015,United Kingdom,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,2015,United Kingdom,1.0145085
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2015,United Kingdom,19.615747
Bank Z-score,GFDD.SI.01,2015,United Kingdom,18.29168
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2015,United Kingdom,44.97504
Provisions to nonperforming loans (%),GFDD.SI.07,2015,United Kingdom,43.669708
"Bank branches per 100,000 adults",GFDD.AI.02,2015,United Kingdom,..
"Bank return on assets (%, after tax)",GFDD.EI.05,2015,United Kingdom,0.5023743
"Bank return on equity (%, after tax)",GFDD.EI.06,2015,United Kingdom,5.326834
"Bank return on assets (%, before tax)",GFDD.EI.09,2015,United Kingdom,0.5916712
"Bank return on equity (%, before tax)",GFDD.EI.10,2015,United Kingdom,6.273677
Bank capital to total assets (%),GFDD.SI.03,2015,United Arab Emirates,..
Bank credit to bank deposits (%),GFDD.SI.04,2015,United Arab Emirates,90.65662
Bank non-performing loans to gross loans (%),GFDD.SI.02,2015,United Arab Emirates,5.0270812
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2015,United Arab Emirates,18.30061
Bank Z-score,GFDD.SI.01,2015,United Arab Emirates,26.12293
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2015,United Arab Emirates,27.22299
Provisions to nonperforming loans (%),GFDD.SI.07,2015,United Arab Emirates,75.285976
"Bank branches per 100,000 adults",GFDD.AI.02,2015,United Arab Emirates,12.790989
"Bank return on assets (%, after tax)",GFDD.EI.05,2015,United Arab Emirates,1.82629
"Bank return on equity (%, after tax)",GFDD.EI.06,2015,United Arab Emirates,13.14652
"Bank return on assets (%, before tax)",GFDD.EI.09,2015,United Arab Emirates,1.8945
"Bank return on equity (%, before tax)",GFDD.EI.10,2015,United Arab Emirates,13.63754
Bank capital to total assets (%),GFDD.SI.03,2015,"Hong Kong SAR, China",9.47
Bank credit to bank deposits (%),GFDD.SI.04,2015,"Hong Kong SAR, China",59.68524
Bank non-performing loans to gross loans (%),GFDD.SI.02,2015,"Hong Kong SAR, China",0.73
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2015,"Hong Kong SAR, China",18.33
Bank Z-score,GFDD.SI.01,2015,"Hong Kong SAR, China",21.06087
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2015,"Hong Kong SAR, China",25.68164
Provisions to nonperforming loans (%),GFDD.SI.07,2015,"Hong Kong SAR, China",..
"Bank branches per 100,000 adults",GFDD.AI.02,2015,"Hong Kong SAR, China",22.170621
"Bank return on assets (%, after tax)",GFDD.EI.05,2015,"Hong Kong SAR, China",1.271103
"Bank return on equity (%, after tax)",GFDD.EI.06,2015,"Hong Kong SAR, China",14.2061
"Bank return on assets (%, before tax)",GFDD.EI.09,2015,"Hong Kong SAR, China",1.463703
"Bank return on equity (%, before tax)",GFDD.EI.10,2015,"Hong Kong SAR, China",16.00998
Bank capital to total assets (%),GFDD.SI.03,2015,Singapore,9.0007461
Bank credit to bank deposits (%),GFDD.SI.04,2015,Singapore,106.6203
Bank non-performing loans to gross loans (%),GFDD.SI.02,2015,Singapore,0.92406291
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2015,Singapore,15.860689
Bank Z-score,GFDD.SI.01,2015,Singapore,31.09669
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2015,Singapore,22.15973
Provisions to nonperforming loans (%),GFDD.SI.07,2015,Singapore,26.1825
"Bank branches per 100,000 adults",GFDD.AI.02,2015,Singapore,8.9540251
"Bank return on assets (%, after tax)",GFDD.EI.05,2015,Singapore,0.9448525
"Bank return on equity (%, after tax)",GFDD.EI.06,2015,Singapore,9.75458
"Bank return on assets (%, before tax)",GFDD.EI.09,2015,Singapore,1.09713
"Bank return on equity (%, before tax)",GFDD.EI.10,2015,Singapore,11.32668
Bank capital to total assets (%),GFDD.SI.03,2016,United States,11.585489
Bank credit to bank deposits (%),GFDD.SI.04,2016,United States,63.8359
Bank non-performing loans to gross loans (%),GFDD.SI.02,2016,United States,1.3205222
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2016,United States,14.191082
Bank Z-score,GFDD.SI.01,2016,United States,33.66898
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2016,United States,19.99031
Provisions to nonperforming loans (%),GFDD.SI.07,2016,United States,..
"Bank branches per 100,000 adults",GFDD.AI.02,2016,United States,155.31514
"Bank return on assets (%, after tax)",GFDD.EI.05,2016,United States,1.069693
"Bank return on equity (%, after tax)",GFDD.EI.06,2016,United States,9.536191
"Bank return on assets (%, before tax)",GFDD.EI.09,2016,United States,1.56042
"Bank return on equity (%, before tax)",GFDD.EI.10,2016,United States,13.91096
Bank capital to total assets (%),GFDD.SI.03,2016,United Kingdom,7.0251705
Bank credit to bank deposits (%),GFDD.SI.04,2016,United Kingdom,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,2016,United Kingdom,0.94016128
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2016,United Kingdom,20.801391
Bank Z-score,GFDD.SI.01,2016,United Kingdom,17.51455
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2016,United Kingdom,45.1393
Provisions to nonperforming loans (%),GFDD.SI.07,2016,United Kingdom,43.634588
"Bank branches per 100,000 adults",GFDD.AI.02,2016,United Kingdom,..
"Bank return on assets (%, after tax)",GFDD.EI.05,2016,United Kingdom,0.3319097
"Bank return on equity (%, after tax)",GFDD.EI.06,2016,United Kingdom,3.493244
"Bank return on assets (%, before tax)",GFDD.EI.09,2016,United Kingdom,0.5013404
"Bank return on equity (%, before tax)",GFDD.EI.10,2016,United Kingdom,5.276741
Bank capital to total assets (%),GFDD.SI.03,2016,United Arab Emirates,..
Bank credit to bank deposits (%),GFDD.SI.04,2016,United Arab Emirates,94.60624
Bank non-performing loans to gross loans (%),GFDD.SI.02,2016,United Arab Emirates,5.0718334
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2016,United Arab Emirates,18.906196
Bank Z-score,GFDD.SI.01,2016,United Arab Emirates,25.03958
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2016,United Arab Emirates,27.54608
Provisions to nonperforming loans (%),GFDD.SI.07,2016,United Arab Emirates,75.386881
"Bank branches per 100,000 adults",GFDD.AI.02,2016,United Arab Emirates,12.365318
"Bank return on assets (%, after tax)",GFDD.EI.05,2016,United Arab Emirates,1.630332
"Bank return on equity (%, after tax)",GFDD.EI.06,2016,United Arab Emirates,11.93744
"Bank return on assets (%, before tax)",GFDD.EI.09,2016,United Arab Emirates,1.692456
"Bank return on equity (%, before tax)",GFDD.EI.10,2016,United Arab Emirates,12.39231
Bank capital to total assets (%),GFDD.SI.03,2016,"Hong Kong SAR, China",9.7844376
Bank credit to bank deposits (%),GFDD.SI.04,2016,"Hong Kong SAR, China",56.4772
Bank non-performing loans to gross loans (%),GFDD.SI.02,2016,"Hong Kong SAR, China",0.85431809
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2016,"Hong Kong SAR, China",19.161162
Bank Z-score,GFDD.SI.01,2016,"Hong Kong SAR, China",19.90074
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2016,"Hong Kong SAR, China",26.3922
Provisions to nonperforming loans (%),GFDD.SI.07,2016,"Hong Kong SAR, China",..
"Bank branches per 100,000 adults",GFDD.AI.02,2016,"Hong Kong SAR, China",21.45793
"Bank return on assets (%, after tax)",GFDD.EI.05,2016,"Hong Kong SAR, China",1.194859
"Bank return on equity (%, after tax)",GFDD.EI.06,2016,"Hong Kong SAR, China",13.13926
"Bank return on assets (%, before tax)",GFDD.EI.09,2016,"Hong Kong SAR, China",1.223255
"Bank return on equity (%, before tax)",GFDD.EI.10,2016,"Hong Kong SAR, China",13.11661
Bank capital to total assets (%),GFDD.SI.03,2016,Singapore,9.2299529
Bank credit to bank deposits (%),GFDD.SI.04,2016,Singapore,104.1535
Bank non-performing loans to gross loans (%),GFDD.SI.02,2016,Singapore,1.2225331
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2016,Singapore,16.465011
Bank Z-score,GFDD.SI.01,2016,Singapore,31.47979
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2016,Singapore,21.28599
Provisions to nonperforming loans (%),GFDD.SI.07,2016,Singapore,29.495583
"Bank branches per 100,000 adults",GFDD.AI.02,2016,Singapore,8.6820558
"Bank return on assets (%, after tax)",GFDD.EI.05,2016,Singapore,0.886646
"Bank return on equity (%, after tax)",GFDD.EI.06,2016,Singapore,8.909759
"Bank return on assets (%, before tax)",GFDD.EI.09,2016,Singapore,1.028041
"Bank return on equity (%, before tax)",GFDD.EI.10,2016,Singapore,10.33061
Bank capital to total assets (%),GFDD.SI.03,2017,United States,11.65001
Bank credit to bank deposits (%),GFDD.SI.04,2017,United States,63.97555
Bank non-performing loans to gross loans (%),GFDD.SI.02,2017,United States,1.1268242
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2017,United States,14.532987
Bank Z-score,GFDD.SI.01,2017,United States,33.62495
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2017,United States,20.30598
Provisions to nonperforming loans (%),GFDD.SI.07,2017,United States,..
"Bank branches per 100,000 adults",GFDD.AI.02,2017,United States,151.33238
"Bank return on assets (%, after tax)",GFDD.EI.05,2017,United States,0.9720101
"Bank return on equity (%, after tax)",GFDD.EI.06,2017,United States,8.732811
"Bank return on assets (%, before tax)",GFDD.EI.09,2017,United States,1.58326
"Bank return on equity (%, before tax)",GFDD.EI.10,2017,United States,14.22445
Bank capital to total assets (%),GFDD.SI.03,2017,United Kingdom,6.7846917
Bank credit to bank deposits (%),GFDD.SI.04,2017,United Kingdom,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,2017,United Kingdom,0.73465975
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2017,United Kingdom,20.495612
Bank Z-score,GFDD.SI.01,2017,United Kingdom,15.88067
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2017,United Kingdom,51.3288
Provisions to nonperforming loans (%),GFDD.SI.07,2017,United Kingdom,45.571123
"Bank branches per 100,000 adults",GFDD.AI.02,2017,United Kingdom,..
"Bank return on assets (%, after tax)",GFDD.EI.05,2017,United Kingdom,0.4835042
"Bank return on equity (%, after tax)",GFDD.EI.06,2017,United Kingdom,5.680831
"Bank return on assets (%, before tax)",GFDD.EI.09,2017,United Kingdom,0.6145649
"Bank return on equity (%, before tax)",GFDD.EI.10,2017,United Kingdom,7.221541
Bank capital to total assets (%),GFDD.SI.03,2017,United Arab Emirates,..
Bank credit to bank deposits (%),GFDD.SI.04,2017,United Arab Emirates,91.70524
Bank non-performing loans to gross loans (%),GFDD.SI.02,2017,United Arab Emirates,5.2952865
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2017,United Arab Emirates,18.096862
Bank Z-score,GFDD.SI.01,2017,United Arab Emirates,26.54524
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2017,United Arab Emirates,28.3211
Provisions to nonperforming loans (%),GFDD.SI.07,2017,United Arab Emirates,72.181984
"Bank branches per 100,000 adults",GFDD.AI.02,2017,United Arab Emirates,11.26845
"Bank return on assets (%, after tax)",GFDD.EI.05,2017,United Arab Emirates,1.505881
"Bank return on equity (%, after tax)",GFDD.EI.06,2017,United Arab Emirates,10.73053
"Bank return on assets (%, before tax)",GFDD.EI.09,2017,United Arab Emirates,1.551853
"Bank return on equity (%, before tax)",GFDD.EI.10,2017,United Arab Emirates,11.05812
Bank capital to total assets (%),GFDD.SI.03,2017,"Hong Kong SAR, China",9.8335923
Bank credit to bank deposits (%),GFDD.SI.04,2017,"Hong Kong SAR, China",64.40332
Bank non-performing loans to gross loans (%),GFDD.SI.02,2017,"Hong Kong SAR, China",0.66892575
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2017,"Hong Kong SAR, China",19.130886
Bank Z-score,GFDD.SI.01,2017,"Hong Kong SAR, China",20.23917
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2017,"Hong Kong SAR, China",27.8553
Provisions to nonperforming loans (%),GFDD.SI.07,2017,"Hong Kong SAR, China",..
"Bank branches per 100,000 adults",GFDD.AI.02,2017,"Hong Kong SAR, China",21.039559
"Bank return on assets (%, after tax)",GFDD.EI.05,2017,"Hong Kong SAR, China",1.14383
"Bank return on equity (%, after tax)",GFDD.EI.06,2017,"Hong Kong SAR, China",12.29003
"Bank return on assets (%, before tax)",GFDD.EI.09,2017,"Hong Kong SAR, China",1.331375
"Bank return on equity (%, before tax)",GFDD.EI.10,2017,"Hong Kong SAR, China",14.04712
Bank capital to total assets (%),GFDD.SI.03,2017,Singapore,9.1775501
Bank credit to bank deposits (%),GFDD.SI.04,2017,Singapore,106.6472
Bank non-performing loans to gross loans (%),GFDD.SI.02,2017,Singapore,1.4002009
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2017,Singapore,17.080153
Bank Z-score,GFDD.SI.01,2017,Singapore,30.39888
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2017,Singapore,23.66531
Provisions to nonperforming loans (%),GFDD.SI.07,2017,Singapore,40.835426
"Bank branches per 100,000 adults",GFDD.AI.02,2017,Singapore,8.2202474
"Bank return on assets (%, after tax)",GFDD.EI.05,2017,Singapore,0.9365519
"Bank return on equity (%, after tax)",GFDD.EI.06,2017,Singapore,9.549077
"Bank return on assets (%, before tax)",GFDD.EI.09,2017,Singapore,1.083235
