Series Name,Series Code,Year,Country,Value
"Bank return on equity (%, before tax)",GFDD.EI.10,2017,Singapore,11.04466
Bank capital to total assets (%),GFDD.SI.03,2018,United States,11.686219
Bank credit to bank deposits (%),GFDD.SI.04,2018,United States,64.47144
Bank non-performing loans to gross loans (%),GFDD.SI.02,2018,United States,0.91316153
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2018,United States,14.774719
Bank Z-score,GFDD.SI.01,2018,United States,34.68312
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2018,United States,19.55266
Provisions to nonperforming loans (%),GFDD.SI.07,2018,United States,..
"Bank branches per 100,000 adults",GFDD.AI.02,2018,United States,149.97232
"Bank return on assets (%, after tax)",GFDD.EI.05,2018,United States,1.385062
"Bank return on equity (%, after tax)",GFDD.EI.06,2018,United States,12.41673
"Bank return on assets (%, before tax)",GFDD.EI.09,2018,United States,1.755742
"Bank return on equity (%, before tax)",GFDD.EI.10,2018,United States,15.73977
Bank capital to total assets (%),GFDD.SI.03,2018,United Kingdom,6.8164601
Bank credit to bank deposits (%),GFDD.SI.04,2018,United Kingdom,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,2018,United Kingdom,1.0726275
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2018,United Kingdom,21.430732
Bank Z-score,GFDD.SI.01,2018,United Kingdom,18.69784
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2018,United Kingdom,57.92846
Provisions to nonperforming loans (%),GFDD.SI.07,2018,United Kingdom,30.488916
"Bank branches per 100,000 adults",GFDD.AI.02,2018,United Kingdom,..
"Bank return on assets (%, after tax)",GFDD.EI.05,2018,United Kingdom,0.4292984
"Bank return on equity (%, after tax)",GFDD.EI.06,2018,United Kingdom,4.886483
"Bank return on assets (%, before tax)",GFDD.EI.09,2018,United Kingdom,0.5426834
"Bank return on equity (%, before tax)",GFDD.EI.10,2018,United Kingdom,6.178847
Bank capital to total assets (%),GFDD.SI.03,2018,United Arab Emirates,..
Bank credit to bank deposits (%),GFDD.SI.04,2018,United Arab Emirates,93.08253
Bank non-performing loans to gross loans (%),GFDD.SI.02,2018,United Arab Emirates,5.6104365
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2018,United Arab Emirates,17.544962
Bank Z-score,GFDD.SI.01,2018,United Arab Emirates,25.3181
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2018,United Arab Emirates,41.18472
Provisions to nonperforming loans (%),GFDD.SI.07,2018,United Arab Emirates,70.269236
"Bank branches per 100,000 adults",GFDD.AI.02,2018,United Arab Emirates,10.736206
"Bank return on assets (%, after tax)",GFDD.EI.05,2018,United Arab Emirates,1.567234
"Bank return on equity (%, after tax)",GFDD.EI.06,2018,United Arab Emirates,11.09719
"Bank return on assets (%, before tax)",GFDD.EI.09,2018,United Arab Emirates,1.621305
"Bank return on equity (%, before tax)",GFDD.EI.10,2018,United Arab Emirates,11.48006
Bank capital to total assets (%),GFDD.SI.03,2018,"Hong Kong SAR, China",9.4914093
Bank credit to bank deposits (%),GFDD.SI.04,2018,"Hong Kong SAR, China",62.28564
Bank non-performing loans to gross loans (%),GFDD.SI.02,2018,"Hong Kong SAR, China",0.5469708
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2018,"Hong Kong SAR, China",20.277186
Bank Z-score,GFDD.SI.01,2018,"Hong Kong SAR, China",20.58956
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2018,"Hong Kong SAR, China",52.13568
Provisions to nonperforming loans (%),GFDD.SI.07,2018,"Hong Kong SAR, China",..
"Bank branches per 100,000 adults",GFDD.AI.02,2018,"Hong Kong SAR, China",21.185944
"Bank return on assets (%, after tax)",GFDD.EI.05,2018,"Hong Kong SAR, China",1.157544
"Bank return on equity (%, after tax)",GFDD.EI.06,2018,"Hong Kong SAR, China",12.13468
"Bank return on assets (%, before tax)",GFDD.EI.09,2018,"Hong Kong SAR, China",1.387824
"Bank return on equity (%, before tax)",GFDD.EI.10,2018,"Hong Kong SAR, China",14.33475
Bank capital to total assets (%),GFDD.SI.03,2018,Singapore,9.0257321
Bank credit to bank deposits (%),GFDD.SI.04,2018,Singapore,107.4157
Bank non-performing loans to gross loans (%),GFDD.SI.02,2018,Singapore,1.3095179
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2018,Singapore,16.805639
Bank Z-score,GFDD.SI.01,2018,Singapore,30.09148
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2018,Singapore,30.46407
Provisions to nonperforming loans (%),GFDD.SI.07,2018,Singapore,39.494
"Bank branches per 100,000 adults",GFDD.AI.02,2018,Singapore,8.1272164
"Bank return on assets (%, after tax)",GFDD.EI.05,2018,Singapore,1.073781
"Bank return on equity (%, after tax)",GFDD.EI.06,2018,Singapore,11.31425
"Bank return on assets (%, before tax)",GFDD.EI.09,2018,Singapore,1.231242
"Bank return on equity (%, before tax)",GFDD.EI.10,2018,Singapore,12.97339
Bank capital to total assets (%),GFDD.SI.03,2019,United States,11.776503
Bank credit to bank deposits (%),GFDD.SI.04,2019,United States,61.73064
Bank non-performing loans to gross loans (%),GFDD.SI.02,2019,United States,0.85525196
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2019,United States,14.650502
Bank Z-score,GFDD.SI.01,2019,United States,35.16919
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2019,United States,17.99225
Provisions to nonperforming loans (%),GFDD.SI.07,2019,United States,..
"Bank branches per 100,000 adults",GFDD.AI.02,2019,United States,148.06077
"Bank return on assets (%, after tax)",GFDD.EI.05,2019,United States,1.340052
"Bank return on equity (%, after tax)",GFDD.EI.06,2019,United States,11.9074
"Bank return on assets (%, before tax)",GFDD.EI.09,2019,United States,1.697266
"Bank return on equity (%, before tax)",GFDD.EI.10,2019,United States,15.08152
Bank capital to total assets (%),GFDD.SI.03,2019,United Kingdom,6.789918
Bank credit to bank deposits (%),GFDD.SI.04,2019,United Kingdom,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,2019,United Kingdom,1.079504
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2019,United Kingdom,21.265862
Bank Z-score,GFDD.SI.01,2019,United Kingdom,18.37656
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2019,United Kingdom,56.61005
Provisions to nonperforming loans (%),GFDD.SI.07,2019,United Kingdom,32.878756
"Bank branches per 100,000 adults",GFDD.AI.02,2019,United Kingdom,..
"Bank return on assets (%, after tax)",GFDD.EI.05,2019,United Kingdom,0.4466396
"Bank return on equity (%, after tax)",GFDD.EI.06,2019,United Kingdom,4.668747
"Bank return on assets (%, before tax)",GFDD.EI.09,2019,United Kingdom,0.6154628
"Bank return on equity (%, before tax)",GFDD.EI.10,2019,United Kingdom,6.43474
Bank capital to total assets (%),GFDD.SI.03,2019,United Arab Emirates,..
Bank credit to bank deposits (%),GFDD.SI.04,2019,United Arab Emirates,86.86516
Bank non-performing loans to gross loans (%),GFDD.SI.02,2019,United Arab Emirates,6.457488
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2019,United Arab Emirates,17.693483
Bank Z-score,GFDD.SI.01,2019,United Arab Emirates,24.59051
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2019,United Arab Emirates,39.55178
Provisions to nonperforming loans (%),GFDD.SI.07,2019,United Arab Emirates,62.489364
"Bank branches per 100,000 adults",GFDD.AI.02,2019,United Arab Emirates,9.5283514
"Bank return on assets (%, after tax)",GFDD.EI.05,2019,United Arab Emirates,1.612956
"Bank return on equity (%, after tax)",GFDD.EI.06,2019,United Arab Emirates,11.96923
"Bank return on assets (%, before tax)",GFDD.EI.09,2019,United Arab Emirates,1.67346
"Bank return on equity (%, before tax)",GFDD.EI.10,2019,United Arab Emirates,12.41822
Bank capital to total assets (%),GFDD.SI.03,2019,"Hong Kong SAR, China",9.9366056
Bank credit to bank deposits (%),GFDD.SI.04,2019,"Hong Kong SAR, China",63.90267
Bank non-performing loans to gross loans (%),GFDD.SI.02,2019,"Hong Kong SAR, China",0.56803224
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2019,"Hong Kong SAR, China",20.743971
Bank Z-score,GFDD.SI.01,2019,"Hong Kong SAR, China",20.99495
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2019,"Hong Kong SAR, China",50.23489
Provisions to nonperforming loans (%),GFDD.SI.07,2019,"Hong Kong SAR, China",..
"Bank branches per 100,000 adults",GFDD.AI.02,2019,"Hong Kong SAR, China",20.980116
"Bank return on assets (%, after tax)",GFDD.EI.05,2019,"Hong Kong SAR, China",1.095953
"Bank return on equity (%, after tax)",GFDD.EI.06,2019,"Hong Kong SAR, China",11.18154
"Bank return on assets (%, before tax)",GFDD.EI.09,2019,"Hong Kong SAR, China",1.298615
"Bank return on equity (%, before tax)",GFDD.EI.10,2019,"Hong Kong SAR, China",13.06037
Bank capital to total assets (%),GFDD.SI.03,2019,Singapore,9.323884
Bank credit to bank deposits (%),GFDD.SI.04,2019,Singapore,105.0424
Bank non-performing loans to gross loans (%),GFDD.SI.02,2019,Singapore,1.3064222
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2019,Singapore,16.953103
Bank Z-score,GFDD.SI.01,2019,Singapore,30.40521
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2019,Singapore,29.8941
Provisions to nonperforming loans (%),GFDD.SI.07,2019,Singapore,38.860646
"Bank branches per 100,000 adults",GFDD.AI.02,2019,Singapore,7.8196356
"Bank return on assets (%, after tax)",GFDD.EI.05,2019,Singapore,1.099621
"Bank return on equity (%, after tax)",GFDD.EI.06,2019,Singapore,11.67927
"Bank return on assets (%, before tax)",GFDD.EI.09,2019,Singapore,1.258562
"Bank return on equity (%, before tax)",GFDD.EI.10,2019,Singapore,13.36742
Bank capital to total assets (%),GFDD.SI.03,2020,United States,11.020887
Bank credit to bank deposits (%),GFDD.SI.04,2020,United States,53.913
Bank non-performing loans to gross loans (%),GFDD.SI.02,2020,United States,1.0653691
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2020,United States,16.276038
Bank Z-score,GFDD.SI.01,2020,United States,30.29941
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2020,United States,24.63564
Provisions to nonperforming loans (%),GFDD.SI.07,2020,United States,..
"Bank branches per 100,000 adults",GFDD.AI.02,2020,United States,144.58493
"Bank return on assets (%, after tax)",GFDD.EI.05,2020,United States,0.7172607
"Bank return on equity (%, after tax)",GFDD.EI.06,2020,United States,6.674671
"Bank return on assets (%, before tax)",GFDD.EI.09,2020,United States,0.8944033
"Bank return on equity (%, before tax)",GFDD.EI.10,2020,United States,8.323121
Bank capital to total assets (%),GFDD.SI.03,2020,United Kingdom,6.8730273
Bank credit to bank deposits (%),GFDD.SI.04,2020,United Kingdom,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,2020,United Kingdom,1.2156648
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2020,United Kingdom,21.568759
Bank Z-score,GFDD.SI.01,2020,United Kingdom,17.62722
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2020,United Kingdom,57.38079
Provisions to nonperforming loans (%),GFDD.SI.07,2020,United Kingdom,33.865475
"Bank branches per 100,000 adults",GFDD.AI.02,2020,United Kingdom,..
"Bank return on assets (%, after tax)",GFDD.EI.05,2020,United Kingdom,0.2592376
"Bank return on equity (%, after tax)",GFDD.EI.06,2020,United Kingdom,2.769177
"Bank return on assets (%, before tax)",GFDD.EI.09,2020,United Kingdom,0.3526097
"Bank return on equity (%, before tax)",GFDD.EI.10,2020,United Kingdom,3.767927
Bank capital to total assets (%),GFDD.SI.03,2020,United Arab Emirates,..
Bank credit to bank deposits (%),GFDD.SI.04,2020,United Arab Emirates,81.56601
Bank non-performing loans to gross loans (%),GFDD.SI.02,2020,United Arab Emirates,8.1549577
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2020,United Arab Emirates,18.144493
Bank Z-score,GFDD.SI.01,2020,United Arab Emirates,22.13758
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2020,United Arab Emirates,45.38015
Provisions to nonperforming loans (%),GFDD.SI.07,2020,United Arab Emirates,58.696874
"Bank branches per 100,000 adults",GFDD.AI.02,2020,United Arab Emirates,7.9760453
"Bank return on assets (%, after tax)",GFDD.EI.05,2020,United Arab Emirates,0.6739708
"Bank return on equity (%, after tax)",GFDD.EI.06,2020,United Arab Emirates,5.195372
"Bank return on assets (%, before tax)",GFDD.EI.09,2020,United Arab Emirates,0.7209771
"Bank return on equity (%, before tax)",GFDD.EI.10,2020,United Arab Emirates,5.557724
Bank capital to total assets (%),GFDD.SI.03,2020,"Hong Kong SAR, China",9.44472
Bank credit to bank deposits (%),GFDD.SI.04,2020,"Hong Kong SAR, China",62.28496
Bank non-performing loans to gross loans (%),GFDD.SI.02,2020,"Hong Kong SAR, China",0.90237353
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2020,"Hong Kong SAR, China",20.689912
Bank Z-score,GFDD.SI.01,2020,"Hong Kong SAR, China",20.07034
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2020,"Hong Kong SAR, China",51.99431
Provisions to nonperforming loans (%),GFDD.SI.07,2020,"Hong Kong SAR, China",..
"Bank branches per 100,000 adults",GFDD.AI.02,2020,"Hong Kong SAR, China",20.235804
"Bank return on assets (%, after tax)",GFDD.EI.05,2020,"Hong Kong SAR, China",0.7634155
"Bank return on equity (%, after tax)",GFDD.EI.06,2020,"Hong Kong SAR, China",7.740235
"Bank return on assets (%, before tax)",GFDD.EI.09,2020,"Hong Kong SAR, China",0.9031647
"Bank return on equity (%, before tax)",GFDD.EI.10,2020,"Hong Kong SAR, China",9.040534
Bank capital to total assets (%),GFDD.SI.03,2020,Singapore,..
Bank credit to bank deposits (%),GFDD.SI.04,2020,Singapore,94.00211
Bank non-performing loans to gross loans (%),GFDD.SI.02,2020,Singapore,..
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2020,Singapore,..
Bank Z-score,GFDD.SI.01,2020,Singapore,28.14932
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2020,Singapore,30.87239
Provisions to nonperforming loans (%),GFDD.SI.07,2020,Singapore,..
"Bank branches per 100,000 adults",GFDD.AI.02,2020,Singapore,7.0191116
"Bank return on assets (%, after tax)",GFDD.EI.05,2020,Singapore,0.6994444
"Bank return on equity (%, after tax)",GFDD.EI.06,2020,Singapore,7.556261
"Bank return on assets (%, before tax)",GFDD.EI.09,2020,Singapore,0.7793937
"Bank return on equity (%, before tax)",GFDD.EI.10,2020,Singapore,8.419971
